origin,destination,total_flights,avg_arr_delay_minutes,on_time_pct
LEX,SFB,224,62.9,38.5
SFB,USA,200,39.4,41.7
DFW,ALB,302,59.4,45.1
SFB,LEX,224,38.1,47.1
DFW,SYR,326,46.1,47.5
DCA,AUS,365,33.5,47.8
DFW,MDT,365,39.6,49.2
DFW,BFL,348,52.2,49.3
DEN,ALB,307,29.3,50.7
MGM,DCA,294,47.8,51.1
DCA,SAT,296,34.4,54.1
DCA,AGS,345,35.1,55.0
LAN,DCA,299,35.3,55.1
RIC,EWR,380,38.0,55.1
ORD,ASE,959,30.6,55.2
DFW,BUF,538,32.4,55.9
SBN,SFB,258,31.7,56.4
BTV,DEN,202,37.5,56.8
RHI,ORD,201,23.2,57.2
DCA,CHA,299,30.9,57.3
