airport_id,airport_code,city_name,state
1,JFK,"New York, NY",NY
2,LAX,"Los Angeles, CA",CA
3,MSY,"New Orleans, LA",LA
4,ORD,"Chicago, IL",IL
5,ABQ,"Albuquerque, NM",NM
6,DFW,"Dallas/Fort Worth, TX",TX
7,LAS,"Las Vegas, NV",NV
8,SFO,"San Francisco, CA",CA
9,DCA,"Washington, DC",VA
10,KOA,"Kona, HI",HI
11,ATL,"Atlanta, GA",GA
12,RSW,"Fort Myers, FL",FL
13,HNL,"Honolulu, HI",HI
14,OGG,"Kahului, HI",HI
15,MCO,"Orlando, FL",FL
16,BZN,"Bozeman, MT",MT
17,FLL,"Fort Lauderdale, FL",FL
18,LGA,"New York, NY",NY
19,SEA,"Seattle, WA",WA
20,PHX,"Phoenix, AZ",AZ
21,BOS,"Boston, MA",MA
22,AUS,"Austin, TX",TX
23,LIH,"Lihue, HI",HI
24,MIA,"Miami, FL",FL
25,CLT,"Charlotte, NC",NC
26,PIT,"Pittsburgh, PA",PA
27,EWR,"Newark, NJ",NJ
28,IAH,"Houston, TX",TX
29,CMH,"Columbus, OH",OH
30,PHL,"Philadelphia, PA",PA
31,BNA,"Nashville, TN",TN
32,MSP,"Minneapolis, MN",MN
33,ELP,"El Paso, TX",TX
34,SJC,"San Jose, CA",CA
35,DTW,"Detroit, MI",MI
36,IND,"Indianapolis, IN",IN
37,TPA,"Tampa, FL",FL
38,STT,"Charlotte Amalie, VI",VI
39,STL,"St. Louis, MO",MO
40,SAN,"San Diego, CA",CA
41,JAX,"Jacksonville, FL",FL
42,EYW,"Key West, FL",FL
43,DEN,"Denver, CO",CO
44,FSD,"Sioux Falls, SD",SD
45,BDL,"Hartford, CT",CT
46,GSP,"Greer, SC",SC
47,ALB,"Albany, NY",NY
48,SRQ,"Sarasota/Bradenton, FL",FL
49,RDU,"Raleigh/Durham, NC",NC
50,GEG,"Spokane, WA",WA
51,SNA,"Santa Ana, CA",CA
52,SAT,"San Antonio, TX",TX
53,SLC,"Salt Lake City, UT",UT
54,JAC,"Jackson, WY",WY
55,MDT,"Harrisburg, PA",PA
56,CHS,"Charleston, SC",SC
57,SYR,"Syracuse, NY",NY
58,SDF,"Louisville, KY",KY
59,RIC,"Richmond, VA",VA
60,PSP,"Palm Springs, CA",CA
61,ROC,"Rochester, NY",NY
62,SMF,"Sacramento, CA",CA
63,TUS,"Tucson, AZ",AZ
64,ILM,"Wilmington, NC",NC
65,AVP,"Scranton/Wilkes-Barre, PA",PA
66,ONT,"Ontario, CA",CA
67,MEM,"Memphis, TN",TN
68,DSM,"Des Moines, IA",IA
69,PVD,"Providence, RI",RI
70,BWI,"Baltimore, MD",MD
71,MCI,"Kansas City, MO",MO
72,TUL,"Tulsa, OK",OK
73,GRR,"Grand Rapids, MI",MI
74,RNO,"Reno, NV",NV
75,MKE,"Milwaukee, WI",WI
76,SJU,"San Juan, PR",PR
77,FAT,"Fresno, CA",CA
78,PBI,"West Palm Beach/Palm Beach, FL",FL
79,OKC,"Oklahoma City, OK",OK
80,COS,"Colorado Springs, CO",CO
81,EGE,"Eagle, CO",CO
82,PDX,"Portland, OR",OR
83,BFL,"Bakersfield, CA",CA
84,IAD,"Washington, DC",VA
85,GUC,"Gunnison, CO",CO
86,GSO,"Greensboro/High Point, NC",NC
87,HDN,"Hayden, CO",CO
88,SBA,"Santa Barbara, CA",CA
89,CLE,"Cleveland, OH",OH
90,VPS,"Valparaiso, FL",FL
91,MYR,"Myrtle Beach, SC",SC
92,MSO,"Missoula, MT",MT
93,LBB,"Lubbock, TX",TX
94,PWM,"Portland, ME",ME
95,XNA,"Fayetteville, AR",AR
96,BHM,"Birmingham, AL",AL
97,ORF,"Norfolk, VA",VA
98,CVG,"Cincinnati, OH",KY
99,MFE,"Mission/McAllen/Edinburg, TX",TX
100,EUG,"Eugene, OR",OR
101,BOI,"Boise, ID",ID
102,ECP,"Panama City, FL",FL
103,BUF,"Buffalo, NY",NY
104,BUR,"Burbank, CA",CA
105,CAE,"Columbia, SC",SC
106,ANC,"Anchorage, AK",AK
107,OMA,"Omaha, NE",NE
108,MSN,"Madison, WI",WI
109,SAV,"Savannah, GA",GA
110,STX,"Christiansted, VI",VI
111,AMA,"Amarillo, TX",TX
112,MRY,"Monterey, CA",CA
113,PNS,"Pensacola, FL",FL
114,LIT,"Little Rock, AR",AR
115,TYS,"Knoxville, TN",TN
116,MTJ,"Montrose/Delta, CO",CO
117,CID,"Cedar Rapids/Iowa City, IA",IA
118,ICT,"Wichita, KS",KS
119,SBP,"San Luis Obispo, CA",CA
120,PAE,"Everett, WA",WA
121,SIT,"Sitka, AK",AK
122,JNU,"Juneau, AK",AK
123,KTN,"Ketchikan, AK",AK
124,FAI,"Fairbanks, AK",AK
125,ADK,"Adak Island, AK",AK
126,DAL,"Dallas, TX",TX
127,RDM,"Bend/Redmond, OR",OR
128,PSC,"Pasco/Kennewick/Richland, WA",WA
129,OAK,"Oakland, CA",CA
130,BET,"Bethel, AK",AK
131,BRW,"Barrow, AK",AK
132,SCC,"Deadhorse, AK",AK
133,YAK,"Yakutat, AK",AK
134,CDV,"Cordova, AK",AK
135,WRG,"Wrangell, AK",AK
136,PSG,"Petersburg, AK",AK
137,ADQ,"Kodiak, AK",AK
138,OTZ,"Kotzebue, AK",AK
139,OME,"Nome, AK",AK
140,HPN,"White Plains, NY",NY
141,PQI,"Presque Isle/Houlton, ME",ME
142,BQN,"Aguadilla, PR",PR
143,PSE,"Ponce, PR",PR
144,ISP,"Islip, NY",NY
145,ORH,"Worcester, MA",MA
146,MHT,"Manchester, NH",NH
147,CHA,"Chattanooga, TN",TN
148,GNV,"Gainesville, FL",FL
149,BTR,"Baton Rouge, LA",LA
150,BIL,"Billings, MT",MT
151,BTV,"Burlington, VT",VT
152,AGS,"Augusta, GA",GA
153,MLB,"Melbourne, FL",FL
154,HOU,"Houston, TX",TX
155,BGR,"Bangor, ME",ME
156,AVL,"Asheville, NC",NC
157,TVC,"Traverse City, MI",MI
158,DLH,"Duluth, MN",MN
159,SBN,"South Bend, IN",IN
160,CAK,"Akron, OH",OH
161,JAN,"Jackson/Vicksburg, MS",MS
162,HSV,"Huntsville, AL",AL
163,MLI,"Moline, IL",IL
164,ABE,"Allentown/Bethlehem/Easton, PA",PA
165,MOB,"Mobile, AL",AL
166,DAY,"Dayton, OH",OH
167,GPT,"Gulfport/Biloxi, MS",MS
168,LEX,"Lexington, KY",KY
169,SGF,"Springfield, MO",MO
170,TLH,"Tallahassee, FL",FL
171,SHV,"Shreveport, LA",LA
172,DAB,"Daytona Beach, FL",FL
173,MGM,"Montgomery, AL",AL
174,FAY,"Fayetteville, NC",NC
175,CRW,"Charleston/Dunbar, WV",WV
176,OAJ,"Jacksonville/Camp Lejeune, NC",NC
177,LFT,"Lafayette, LA",LA
178,PIA,"Peoria, IL",IL
179,TRI,"Bristol/Johnson City/Kingsport, TN",TN
180,FWA,"Fort Wayne, IN",IN
181,LAN,"Lansing, MI",MI
182,BLI,"Bellingham, WA",WA
183,STS,"Santa Rosa, CA",CA
184,RDD,"Redding, CA",CA
185,MFR,"Medford, OR",OR
186,MQT,"Marquette, MI",MI
187,GRB,"Green Bay, WI",WI
188,ASE,"Aspen, CO",CO
189,LGB,"Long Beach, CA",CA
190,LWS,"Lewiston, ID",ID
191,MBS,"Saginaw/Bay City/Midland, MI",MI
192,FAR,"Fargo, ND",ND
193,MDW,"Chicago, IL",IL
194,FCA,"Kalispell, MT",MT
195,ATW,"Appleton, WI",WI
196,TWF,"Twin Falls, ID",ID
197,EVV,"Evansville, IN",IN
198,GTF,"Great Falls, MT",MT
199,PIH,"Pocatello, ID",ID
200,RST,"Rochester, MN",MN
201,AZO,"Kalamazoo, MI",MI
202,HLN,"Helena, MT",MT
203,ELM,"Elmira/Corning, NY",NY
204,BIS,"Bismarck/Mandan, ND",ND
205,IDA,"Idaho Falls, ID",ID
206,MAF,"Midland/Odessa, TX",TX
207,SUN,"Sun Valley/Hailey/Ketchum, ID",ID
208,MOT,"Minot, ND",ND
209,HRL,"Harlingen/San Benito, TX",TX
210,HIB,"Hibbing, MN",MN
211,GJT,"Grand Junction, CO",CO
212,SGU,"St. George, UT",UT
213,ABR,"Aberdeen, SD",SD
214,ESC,"Escanaba, MI",MI
215,INL,"International Falls, MN",MN
216,CIU,"Sault Ste. Marie, MI",MI
217,XWA,"Williston, ND",ND
218,APN,"Alpena, MI",MI
219,RHI,"Rhinelander, WI",WI
220,IMT,"Iron Mountain/Kingsfd, MI",MI
221,BRD,"Brainerd, MN",MN
222,BJI,"Bemidji, MN",MN
223,EKO,"Elko, NV",NV
224,BTM,"Butte, MT",MT
225,CDC,"Cedar City, UT",UT
226,PLN,"Pellston, MI",MI
227,CHO,"Charlottesville, VA",VA
228,ACV,"Arcata/Eureka, CA",CA
229,CPR,"Casper, WY",WY
230,DRO,"Durango, CO",CO
231,FNT,"Flint, MI",MI
232,PVU,"Provo, UT",UT
