date_id,full_date,year,quarter,month,day_of_month,day_of_week
20250101,2025-01-01,2025,1,1,1,3
20250102,2025-01-02,2025,1,1,2,4
20250103,2025-01-03,2025,1,1,3,5
20250104,2025-01-04,2025,1,1,4,6
20250105,2025-01-05,2025,1,1,5,7
20250106,2025-01-06,2025,1,1,6,1
20250107,2025-01-07,2025,1,1,7,2
20250108,2025-01-08,2025,1,1,8,3
20250109,2025-01-09,2025,1,1,9,4
20250110,2025-01-10,2025,1,1,10,5
20250111,2025-01-11,2025,1,1,11,6
20250112,2025-01-12,2025,1,1,12,7
20250113,2025-01-13,2025,1,1,13,1
20250114,2025-01-14,2025,1,1,14,2
20250115,2025-01-15,2025,1,1,15,3
20250116,2025-01-16,2025,1,1,16,4
20250117,2025-01-17,2025,1,1,17,5
20250118,2025-01-18,2025,1,1,18,6
20250119,2025-01-19,2025,1,1,19,7
20250120,2025-01-20,2025,1,1,20,1
20250121,2025-01-21,2025,1,1,21,2
20250122,2025-01-22,2025,1,1,22,3
20250123,2025-01-23,2025,1,1,23,4
20250124,2025-01-24,2025,1,1,24,5
20250125,2025-01-25,2025,1,1,25,6
20250126,2025-01-26,2025,1,1,26,7
20250127,2025-01-27,2025,1,1,27,1
20250128,2025-01-28,2025,1,1,28,2
20250129,2025-01-29,2025,1,1,29,3
20250130,2025-01-30,2025,1,1,30,4
20250131,2025-01-31,2025,1,1,31,5
20250201,2025-02-01,2025,1,2,1,6
20250202,2025-02-02,2025,1,2,2,7
20250203,2025-02-03,2025,1,2,3,1
20250204,2025-02-04,2025,1,2,4,2
20250205,2025-02-05,2025,1,2,5,3
20250206,2025-02-06,2025,1,2,6,4
20250207,2025-02-07,2025,1,2,7,5
20250208,2025-02-08,2025,1,2,8,6
20250209,2025-02-09,2025,1,2,9,7
20250210,2025-02-10,2025,1,2,10,1
20250211,2025-02-11,2025,1,2,11,2
20250212,2025-02-12,2025,1,2,12,3
20250213,2025-02-13,2025,1,2,13,4
20250214,2025-02-14,2025,1,2,14,5
20250215,2025-02-15,2025,1,2,15,6
20250216,2025-02-16,2025,1,2,16,7
20250217,2025-02-17,2025,1,2,17,1
20250218,2025-02-18,2025,1,2,18,2
20250219,2025-02-19,2025,1,2,19,3
20250220,2025-02-20,2025,1,2,20,4
20250221,2025-02-21,2025,1,2,21,5
20250222,2025-02-22,2025,1,2,22,6
20250223,2025-02-23,2025,1,2,23,7
20250224,2025-02-24,2025,1,2,24,1
20250225,2025-02-25,2025,1,2,25,2
20250226,2025-02-26,2025,1,2,26,3
20250227,2025-02-27,2025,1,2,27,4
20250228,2025-02-28,2025,1,2,28,5
20250301,2025-03-01,2025,1,3,1,6
20250302,2025-03-02,2025,1,3,2,7
20250303,2025-03-03,2025,1,3,3,1
20250304,2025-03-04,2025,1,3,4,2
20250305,2025-03-05,2025,1,3,5,3
20250306,2025-03-06,2025,1,3,6,4
20250307,2025-03-07,2025,1,3,7,5
20250308,2025-03-08,2025,1,3,8,6
20250309,2025-03-09,2025,1,3,9,7
20250310,2025-03-10,2025,1,3,10,1
20250311,2025-03-11,2025,1,3,11,2
20250312,2025-03-12,2025,1,3,12,3
20250313,2025-03-13,2025,1,3,13,4
20250314,2025-03-14,2025,1,3,14,5
20250315,2025-03-15,2025,1,3,15,6
20250316,2025-03-16,2025,1,3,16,7
20250317,2025-03-17,2025,1,3,17,1
20250318,2025-03-18,2025,1,3,18,2
20250319,2025-03-19,2025,1,3,19,3
20250320,2025-03-20,2025,1,3,20,4
20250321,2025-03-21,2025,1,3,21,5
20250322,2025-03-22,2025,1,3,22,6
20250323,2025-03-23,2025,1,3,23,7
20250324,2025-03-24,2025,1,3,24,1
20250325,2025-03-25,2025,1,3,25,2
20250326,2025-03-26,2025,1,3,26,3
20250327,2025-03-27,2025,1,3,27,4
20250328,2025-03-28,2025,1,3,28,5
20250329,2025-03-29,2025,1,3,29,6
20250330,2025-03-30,2025,1,3,30,7
20250331,2025-03-31,2025,1,3,31,1
20250408,2025-04-08,2025,2,4,8,2
20250409,2025-04-09,2025,2,4,9,3
20250410,2025-04-10,2025,2,4,10,4
20250411,2025-04-11,2025,2,4,11,5
20250412,2025-04-12,2025,2,4,12,6
20250413,2025-04-13,2025,2,4,13,7
20250414,2025-04-14,2025,2,4,14,1
20250415,2025-04-15,2025,2,4,15,2
20250416,2025-04-16,2025,2,4,16,3
20250417,2025-04-17,2025,2,4,17,4
20250418,2025-04-18,2025,2,4,18,5
20250419,2025-04-19,2025,2,4,19,6
20250420,2025-04-20,2025,2,4,20,7
20250421,2025-04-21,2025,2,4,21,1
20250422,2025-04-22,2025,2,4,22,2
20250423,2025-04-23,2025,2,4,23,3
20250424,2025-04-24,2025,2,4,24,4
20250425,2025-04-25,2025,2,4,25,5
20250426,2025-04-26,2025,2,4,26,6
20250427,2025-04-27,2025,2,4,27,7
20250428,2025-04-28,2025,2,4,28,1
20250429,2025-04-29,2025,2,4,29,2
20250430,2025-04-30,2025,2,4,30,3
20250401,2025-04-01,2025,2,4,1,2
20250402,2025-04-02,2025,2,4,2,3
20250403,2025-04-03,2025,2,4,3,4
20250404,2025-04-04,2025,2,4,4,5
20250406,2025-04-06,2025,2,4,6,7
20250407,2025-04-07,2025,2,4,7,1
20250405,2025-04-05,2025,2,4,5,6
20250501,2025-05-01,2025,2,5,1,4
20250502,2025-05-02,2025,2,5,2,5
20250503,2025-05-03,2025,2,5,3,6
20250504,2025-05-04,2025,2,5,4,7
20250505,2025-05-05,2025,2,5,5,1
20250506,2025-05-06,2025,2,5,6,2
20250507,2025-05-07,2025,2,5,7,3
20250508,2025-05-08,2025,2,5,8,4
20250509,2025-05-09,2025,2,5,9,5
20250510,2025-05-10,2025,2,5,10,6
20250511,2025-05-11,2025,2,5,11,7
20250512,2025-05-12,2025,2,5,12,1
20250513,2025-05-13,2025,2,5,13,2
20250514,2025-05-14,2025,2,5,14,3
20250515,2025-05-15,2025,2,5,15,4
20250516,2025-05-16,2025,2,5,16,5
20250517,2025-05-17,2025,2,5,17,6
20250518,2025-05-18,2025,2,5,18,7
20250519,2025-05-19,2025,2,5,19,1
